module,metric,value
HMM,regime_accuracy,0.4701
HMM,mean_confidence_correct,0.7501
HMM,mean_confidence_wrong,0.6295
CSP_astar_fixed,on_time_rate_regime0,0.9883
CSP_astar_fixed,on_time_rate_regime1,0.7039
CSP_astar_fixed,on_time_rate_regime2,0.951
CSP_astar_fixed,on_time_rate_regime3,0.7578
CSP_astar_regime,on_time_rate_regime0,0.9903
CSP_astar_regime,on_time_rate_regime1,0.695
CSP_astar_regime,on_time_rate_regime2,0.949
CSP_astar_regime,on_time_rate_regime3,0.7629
CSP_greedy,on_time_rate_regime0,0.9556
CSP_greedy,on_time_rate_regime1,0.6247
CSP_greedy,on_time_rate_regime2,0.8525
CSP_greedy,on_time_rate_regime3,0.6798
PPO,on_time_rate_False,0.8571
PPO,on_time_rate_True,0.8689
PPO,on_time_rate_greedy,0.5
